channel_id,last_date,status
UCpC-0wJsf4aF3boQ76-g-fA,2019-12-19 18:40:18,to do
UChbaKJjkXutsq1N6OV9gJjQ,2019-12-19 19:08:01,to do
UC9uKqe1WAbRn1jg8KDu1rDA,2019-12-19 19:45:50,to do
UCriEZRMA_gLwgrD0cwwAagA,2019-12-19 19:48:58,to do
UCwX2Fd5Yiegdl-TGT_jL2CQ,2019-12-19 19:49:51,to do
UCLTvA6Sd7JbfPPOIowV0Y6g,2019-12-19 20:27:47,to do
UCNyRuOgL3IZ-smtoB3xeMbQ,2019-12-19 21:02:16,to do
UC6DLi05kT-v4HVfdbPlu95A,2019-12-19 21:10:47,to do
UCnakvGHvF7Y13eQ54M4ypPQ,2019-12-19 21:14:31,to do
UCEV2CVZr9zaD5au5hrRcu7g,,to do
UCkhKIW0wsezFzEWCEOB5DRg,2019-12-19 22:01:07,to do
UCVQ57sutlynVhQMjV2RnX7g,2019-12-19 22:06:23,to do
UCunmS_y5kwypVMu97pF2daA,2019-12-19 22:36:59,to do
UCSAEQN37vLWfOb0nRnTUvqQ,2019-12-19 23:22:18,to do
UCuWPgnnrQPZDue_VLoh7cew,2019-12-19 23:47:57,to do
UChFn4VgeDE1bDvHWdRJqytw,,to do
UCK-gIWRnGaDt21OyYojSVBg,2019-12-20 00:52:03,to do
UCDbYJLN-WixfWo6fcB1igvA,2019-12-20 01:29:33,to do
UCMQZSMxrlgjZEAlJJdds89w,2019-12-20 02:04:56,to do
UCggWhi80UFUUoyMd7r21g0A,2019-12-20 03:47:43,to do
UC9l7xbkF_n-WP61f74AjKvw,2019-12-20 03:57:00,to do
UCvQ3z3XjdwaqPNkmGFexr-w,2019-12-20 04:06:52,to do
UCevY-z55kr37ZAXG15F-KiA,2019-12-20 04:14:34,to do
UCxBsxNFLWpxd72JkjLqT7Rg,2019-12-20 04:18:25,to do
UCpAEht8EawxIeykVRoGPpqQ,,to do
UCEIvHTkgjb-Nph8qH17K6FQ,2019-12-20 04:31:07,to do
UCbI_9rHLgrlcB420xJBsfGg,2019-12-20 04:34:59,to do
UCh7y3jUo8RwcrYPtRq8PLiQ,2019-12-20 04:54:24,to do
UCPgvCUSmHWm2177LkwLtZQw,2019-12-20 05:47:11,to do
UCySHmQ482PWjJ-UefMvbZgg,2019-12-20 05:46:03,to do
UCpQiuw3tFFewzpZZqZC7bHA,2019-12-20 06:31:44,to do
UCWYIpaBygXPNEz_MsUpBKrA,2019-12-20 06:46:10,to do
UCPREki9OQnydVME95TUCvuA,2019-12-20 06:52:10,to do
UCUX5omTUYaFA1LuIxFTE2gw,2019-12-20 06:52:53,to do
UCjnWuCGkfeUqteZuX1F7cUQ,2019-12-20 06:55:02,to do
UCNd8lDD8JA7xtTle32P19IA,2019-12-20 06:58:38,to do
UCtjtL96bieXKvPOvoiVJw6Q,2019-12-20 06:58:38,to do
UCaejVUrjLgMscS4S4bG7IXA,2019-12-20 07:01:21,to do
UCrydToTM0QYg1Lyy9JG2j_g,2019-12-20 07:02:20,to do
UClWu1Gr3TVsJkZwXFKfG0fg,2019-12-20 07:03:19,to do
